business_id,state,longitude,latitude,name,stars,catstr,ClustNum,Area,Number members,Density,AvgRating
RZma06CqXbOIMzTQL-eJFQ,QC,-73.6355805,45.5891369,La Cage Aux Sports,2.0,Pubs|Bars|Sports Bars|Nightlife,32,12094,1,8.26856292376e-05,2.0
GxfgoiDLfs7HC8C_wFsGPw,QC,-73.5745769,45.5486711,Boulangerie Première Moisson,4.5,Bakeries|Food,56,3203,10,0.00312207305651,3.65
g8Ja8BKskzmWHX9VH7B2yg,QC,-73.5661658,45.5519428,Rose ou Bleu,3.0,Children's Clothing|Fashion|Shopping|Baby Gear & Furniture,56,3203,10,0.00312207305651,3.65
RySnetMQUJKbbtliTt4Nmw,QC,-73.5497216802,45.559631897,Biodôme de Montréal,3.5,Museums|Active Life|Arts & Entertainment|Botanical Gardens|Aquariums,61,975,19,0.0194871794872,3.68421052632
dvXKsHW_WIdRbbE_Jsxx3A,QC,-73.5481807929,45.5613787346,Cineplex- Starcité,3.5,Arts & Entertainment|Cinema,61,975,19,0.0194871794872,3.68421052632
JqlT41fOvgMQnbL_ZhLtZw,QC,-73.5637160508,45.5421594835,Loblaws,4.0,Food|Grocery,4,2941,12,0.00408024481469,4.08333333333
FRoFkp1YGqziKAk5HAj55w,QC,-73.6146694,45.560849,Cirque Du Soleil,5.0,Arts & Entertainment|Performing Arts,41,7908,8,0.00101163378857,4.3125
fNlndRtXwA270PSmPKnXfQ,QC,-73.550291,45.562381,Centre Pierre Charbonneau,2.5,,61,975,19,0.0194871794872,3.68421052632
kPFS2EnXDFcddYslkaMqKw,QC,-73.5619298,45.54135,Spa Escale Sante,4.5,Massage|Beauty & Spas,4,2941,12,0.00408024481469,4.08333333333
6MSbS90XvNHz8-rUWIg1gA,QC,-73.6201691006,45.5572348027,Canadian Tire,3.5,Tires|Automotive|Auto Repair,41,7908,8,0.00101163378857,4.3125
z5Hd_UOjwiSEGPmOFlSCJw,QC,-73.5966302,45.5790576,Buffet Roma,5.0,Event Planning & Services|Venues & Event Spaces|Caterers,80,869,5,0.00575373993096,3.3
Oqr5zMLM2H7kJCbdc6A8Yg,QC,-73.5728748,45.5571482,Coop De Taxi De Montreal,1.5,Hotels & Travel|Taxis|Transportation,56,3203,10,0.00312207305651,3.65
H36YxCHOChB1ptvFG4mBgA,QC,-73.6099293,45.5995465,Cinemas Guzzo,2.5,Arts & Entertainment|Cinema,58,1547,4,0.00258564964447,3.75
ye1TV6mbqDdlN5K1275WWw,QC,-73.5853697,45.5856704,Mayrand,4.5,Food|Specialty Food|Grocery|Fruits & Veggies|Meat Shops,80,869,5,0.00575373993096,3.3
CEkOJGQI4oieQR5KrQfnjw,QC,-73.5108329,45.6374904,Boucherie Beau-bien,4.5,Food|Specialty Food|Meat Shops,55,32286,1,3.09731772285e-05,4.5
aBD8uijs4_isgDzD-b9sNA,QC,-73.544272,45.592656,Homesense,4.5,Shopping|Home Decor|Home & Garden,33,1355,3,0.00221402214022,3.66666666667
_XLzRV_NC2nwoppQ94goKQ,QC,-73.5934641,45.5816167,Gallo Nero Restaurant Statoria,1.5,,80,869,5,0.00575373993096,3.3
MJ85aI86O8rgceI30ZKmtw,QC,-73.6121404,45.5840495,Coiff Inter-Bella,3.5,Hair Salons|Beauty & Spas|Nail Salons,58,1547,4,0.00258564964447,3.75
jdya5JGhDwisyzHTJZy7QA,QC,-73.5719499,45.5989099,Quality Hotel,3.5,Hotels & Travel|Event Planning & Services|Hotels,14,797,7,0.00878293601004,3.28571428571
yRwiB5yr8FZmMV95hb-FRA,QC,-73.5419068,45.5918938,Place Versailles,3.5,Shopping Centers|Shopping,33,1355,3,0.00221402214022,3.66666666667
rktD-6bsUPD8vEoK2MrUcA,QC,-73.5451368,45.5571298,Pro Gym Serge Moreau,4.0,Active Life|Gyms|Fitness & Instruction,61,975,19,0.0194871794872,3.68421052632
kGzeAO3S76mkv9O_Q9bWsQ,QC,-73.6035826,45.5695928,Addison Électronique,4.5,Electronics|Shopping,41,7908,8,0.00101163378857,4.3125
b-zECNSSEXAyYo_z2Z3_Zw,QC,-73.6034419,45.6069227,Fruits De Mer United Seafood Ltee,4.5,Food|Specialty Food|Seafood Markets,58,1547,4,0.00258564964447,3.75
uXdO8jXV3Mtd63Zu2MTgpA,QC,-73.5388454,45.5603042,Titanium Era,1.5,Shopping|Jewelry,11,91726,8,8.72162745568e-05,3.6875
39o-BAtkASkBYm521mEwOQ,QC,-73.5757011,45.5913646,Monsieur Felix Mr Norton,4.0,Food,14,797,7,0.00878293601004,3.28571428571
vJtlcSMiNgvHI1i_rL1K2Q,QC,-73.5835999,45.6084717,Costco Anjou,3.5,Shopping|Wholesale Stores,14,797,7,0.00878293601004,3.28571428571
tRVmSSQnA7PFrmCJ_iTJ1A,QC,-73.5612239,45.5421095,Canadian Tire Magasins Associes,3.5,Auto Repair|Automotive,4,2941,12,0.00408024481469,4.08333333333
x0vX7Iq6zpO54YDeMB4Rrw,QC,-73.5392456,45.5676037,Action Commando Paintball Gokarting Montreal,4.0,Active Life|Go Karts|Sporting Goods|Shopping|Paintball,11,91726,8,8.72162745568e-05,3.6875
UC_eKYDgdvYZgMHAXjpTEQ,QC,-73.6390154,45.5715576,Maison Du Ravioli (La Casa),4.5,Food|Event Planning & Services|Caterers,74,986,7,0.00709939148073,4.28571428571
WPPmpk-WbG3n49uuYX-uSQ,QC,-73.5611227,45.6207225,Purolator Courrier Ltee,1.0,Local Services|Shipping Centers,14,797,7,0.00878293601004,3.28571428571
-hL-b301EFFrHIjiTYGGXA,QC,-73.5737445,45.5798444,Hopital Santa Cabrini,1.5,Hospitals|Medical Centers|Health & Medical,80,869,5,0.00575373993096,3.3
I8pd8aYA_1O2wN1__djpCA,QC,-73.5733473,45.5509028,Alimentation Poivre & Sel,3.5,Food|Specialty Food|Grocery,56,3203,10,0.00312207305651,3.65
1SUqulupcGxHYgmEFIAO7Q,QC,-73.5532861,45.5657655,Hotel Universel Montréal,2.0,Hotels & Travel|Event Planning & Services|Hotels,61,975,19,0.0194871794872,3.68421052632
33vPohEYdILThOfee6wDng,QC,-73.5438237,45.546752,Biscuiterie Oscar,4.5,Food|Desserts,59,272,9,0.0330882352941,4.0
a5XVf5KcJ1eD7IeEpM1qGg,QC,-73.6161197,45.5583497,Tohu Cite Des Arts Du Cirque,3.5,Arts & Entertainment|Performing Arts,41,7908,8,0.00101163378857,4.3125
3lYFFpIAWYLune0-Xa0EXg,QC,-73.5416161,45.5381057,L'Hôtel Auberge Manoir Ville Marie,2.5,Hotels & Travel|Event Planning & Services|Hotels,59,272,9,0.0330882352941,4.0
xoslU9yoIFA0Cqv2ybaXrQ,QC,-73.6016164,45.5726283,Restaurant Wing Phat,4.5,Food|Grocery,41,7908,8,0.00101163378857,4.3125
XBt-bIg4a9bKWR2oXdcLnA,QC,-73.5390951,45.588952,Auberge Royal Versailles,3.0,Hotels & Travel|Event Planning & Services|Venues & Event Spaces|Hotels,33,1355,3,0.00221402214022,3.66666666667
JKzn7mDPaAC8JDXMoQdMVg,QC,-73.5665729,45.5112538,Katacömbes,4.0,Bars|Arts & Entertainment|Nightlife|Music Venues,47,112753,60,0.000532136617208,3.64166666667
foYjJRxzZWYOmJqENkongg,QC,-73.5575741,45.5033549,Photo Service,3.5,Hobby Shops|Shopping|Photography Stores & Services,0,207,65,0.314009661836,3.95384615385
RDMDs_Ec1rZATYo4kwfZIA,QC,-73.5577843,45.5129475,Molson Canada,3.5,Food|Breweries,47,112753,60,0.000532136617208,3.64166666667
5LBVJ2_UslInSx5n7D__xQ,QC,-73.5548400879,45.5190978381,Priape,4.5,Shopping|Adult,18,345,69,0.2,3.69565217391
PhFAS7YNCZArHY64XVRc_Q,QC,-73.5755746,45.5210943,Au Coin Duluth,4.0,"Food|Beer, Wine & Spirits|Convenience Stores",87,7805,44,0.00563741191544,3.97727272727
tygyp6bpawJlUiJfB2vtjg,QC,-73.5951101,45.519511,Copie 2000,2.0,Local Services|Printing Services,49,75083,48,0.000639292516282,3.84375
vudJx4FEIW9sGC2Qj0Lhwg,QC,-73.5575084,45.5171956,Jet Club,1.5,Shopping|Nightlife|Comedy Clubs,18,345,69,0.2,3.69565217391
4lSqXS5Yf8EM2-j0kQg5tg,QC,-73.5788946,45.5221108,Zone,3.5,Shopping|Home Decor|Interior Design|Home & Garden|Kitchen & Bath|Home Services,20,158784,56,0.000352680370818,3.86607142857
sr-i_4EXLv9ni9C4KP1eYQ,QC,-73.5804356,45.5194272,Bicycletterie J R,3.0,Active Life|Sporting Goods|Bikes|Shopping|Bike Rentals,72,6015,44,0.00731504571904,4.01136363636
QmA6vP2_gnhvinBLzw2wHg,QC,-73.5718433,45.5141692,Kamasutra Club,2.5,Adult Entertainment|Nightlife,7,300,73,0.243333333333,3.82191780822
