business_id,state,longitude,latitude,name,stars,catstr,ClustNum,Area,Number members,Density,AvgRating
lW9Up8oVTWUEut_R6nZG-g,QC,-73.5445697632,45.5450727524,Atomic Café,4.0,Cafes|Restaurants,8,3924,40,0.0101936799185,3.7
rWmYk-i8EF-g07KnVkdlqQ,QC,-73.5421199,45.5617486,Restaurant Les Princesses,2.5,Adult Entertainment|Breakfast & Brunch|Nightlife|Restaurants,8,3924,40,0.0101936799185,3.7
e1_MTuBa4LTN1E2RKh53Xg,QC,-73.5853888,45.5558183,Zytynsky's Deli,4.5,Delis|Sandwiches|Restaurants,26,1187,24,0.0202190395956,4.0625
yLj-pKIc-V530j1G6ySQ2Q,QC,-73.5526664,45.5679434,Jardin Tiki,2.5,Buffets|Chinese|Restaurants,14,5012,20,0.00399042298484,3.35
IY5GFZTZCywC0ylKuG9ebA,QC,-73.5593332,45.5404247,Restaurant St-Hubert Rotisserie,3.5,Canadian (New)|Restaurants,65,1711,14,0.00818234950321,4.0
Env21pieyFD60kaC0xbmcg,QC,-73.5421826,45.5842794,Restaurant Pescara Pineta,2.0,Restaurants|Italian,14,5012,20,0.00399042298484,3.35
IYdjcA92wjvM5RtPZ3C7kw,QC,-73.559822,45.600332,Boston Pizza Anjou,2.5,Pizza|Restaurants,24,4978,23,0.00462032944958,3.5
pvbBfLIVJ_5sJXUTAKmkng,QC,-73.5710498,45.5912076,Barbies Bar & Grill,2.5,Mexican|Restaurants,24,4978,23,0.00462032944958,3.5
A9yOopsy2bQgStF3Y6lSyA,QC,-73.5396242,45.5528219,Bagatelle,4.0,Breakfast & Brunch|French|Restaurants,8,3924,40,0.0101936799185,3.7
lj9PHKl7wKvQTHgFc08E-Q,QC,-73.5305227,45.6039342,Le Grill Barroso,3.0,Portuguese|Restaurants,86,10595,3,0.000283152430392,3.5
FefB0Lp2Sz0RMZvtgbiuMw,QC,-73.6111067,45.5981978,Rotisseries Scores,2.0,Barbeque|Canadian (New)|Restaurants,92,10196,4,0.000392310710082,3.125
Hn9aFjT-Up_0AJ8ZuIWTBA,QC,-73.5910534,45.5493917,Noche Y Dia,4.0,Greek|Mediterranean|Event Planning & Services|Venues & Event Spaces|Restaurants,26,1187,24,0.0202190395956,4.0625
gas4eqbnp_dzdA3kith5XA,QC,-73.5494225,45.5727658,Chez Cora,3.5,French|Restaurants,14,5012,20,0.00399042298484,3.35
Ra8dwM6dGUQszCXiUDPf2A,QC,-73.5808557,45.595709,Jarry Smoked Meat,3.5,Burgers|Sandwiches|Canadian (New)|Restaurants,24,4978,23,0.00462032944958,3.5
dIcc2Z7m-JcHHLxwCuyfug,QC,-73.594176,45.617234,Restaurant Prima Luna,4.0,Restaurants|Sushi Bars|Italian,95,18300,2,0.000109289617486,3.75
N-m3nClpkmdmOlQfQKpyIA,QC,-73.5706724,45.5555052,Restaurant Casa Vinho,4.5,Portuguese|Restaurants,79,2122,14,0.00659754948162,3.64285714286
fviB5hGwm6phgpkFqD80wA,QC,-73.5743658202,45.5943015303,Tutti Frutti Dejeuners,3.5,Breakfast & Brunch|Restaurants,24,4978,23,0.00462032944958,3.5
Vh9IFPjmNkWr3iNPgmIYhg,QC,-73.5421237,45.5839254,Kobe Japanese Steakhouse,2.5,Japanese|Restaurants,14,5012,20,0.00399042298484,3.35
-bfARaSSodNvJsh4jkB78w,QC,-73.543758,45.5823153,Pacini,3.0,Restaurants|French|Italian,14,5012,20,0.00399042298484,3.35
QyDYdEVaBw2dcZXu1-4wCQ,QC,-73.6245719,45.6002482,Da Bologna,4.5,Italian|Fast Food|Pizza|Restaurants,92,10196,4,0.000392310710082,3.125
xzb-QswUTcunPfPc56G-Jg,QC,-73.5741843,45.5498544,Frite Alors,3.0,Restaurants,79,2122,14,0.00659754948162,3.64285714286
s9zHOmnjn76CluBfoefNrg,QC,-73.5913203,45.5490656,La Grand-Mère Poule,3.5,Breakfast & Brunch|Restaurants,26,1187,24,0.0202190395956,4.0625
75by2mPZuPGbl3Tg5WkA7Q,QC,-73.541789,45.5494156,Gerry's Restaurant Delicatessen,3.0,Delis|Pizza|Sandwiches|Restaurants,8,3924,40,0.0101936799185,3.7
No_yhpCxnTIbPREPu-7d5w,QC,-73.5415376,45.5853585,Tim Hortons,2.5,Food|Donuts|Coffee & Tea|Sandwiches|Restaurants,14,5012,20,0.00399042298484,3.35
DEV3v5osDOnqaToH7zhLAA,QC,-73.5697616,45.5907868,Rockaberry,4.5,Food|Desserts|Coffee & Tea|Comfort Food|Restaurants,24,4978,23,0.00462032944958,3.5
9eDgQCBSwsM2ipAEqJtijA,QC,-73.546401,45.5427729,Sata Sushi,3.5,Vegetarian|Sushi Bars|Japanese|Restaurants,8,3924,40,0.0101936799185,3.7
dFEN3l7D-ukjGz4eDzlzKw,QC,-73.5449347,45.5799175,Restaurant Le Lai,3.0,Vietnamese|Restaurants,14,5012,20,0.00399042298484,3.35
4B3fxCfIQqUb-mSI2b2SIg,QC,-73.5756718,45.5468056,Planet Oeuf,3.0,Restaurants,79,2122,14,0.00659754948162,3.64285714286
3IQklarg7couxZURv-UBHA,QC,-73.5419068,45.5918938,Nickels Restaurant,3.0,Canadian (New)|Restaurants,14,5012,20,0.00399042298484,3.35
8AfCqrr-aQtPg0JdGor9og,QC,-73.5687147,45.5586272,Restaurant Chez La Mère,4.0,Pizza|Restaurants,79,2122,14,0.00659754948162,3.64285714286
btSNykS8wnIjb5sspEVh_Q,QC,-73.5503056,45.5425944,Restaurant Tex Mex,4.5,Tex-Mex|Restaurants,65,1711,14,0.00818234950321,4.0
6wjsjJptiA4N5XcRadFniw,QC,-73.5404199,45.5515833,New Casa De La Pizza,1.5,Restaurants|Pizza|Italian,8,3924,40,0.0101936799185,3.7
YrsP2kYz8U8PfhFdF9-0dg,QC,-73.5831578,45.5935042,Di Menna Restaurant,3.0,Restaurants,24,4978,23,0.00462032944958,3.5
0RsYRnk0z2Y_GbK7fB9nLQ,QC,-73.5306761,45.5559369,Cabotins,4.0,Breakfast & Brunch|French|Restaurants,8,3924,40,0.0101936799185,3.7
IxN8Lp3AfjiJNrCDYL8mig,QC,-73.5392823107,45.5816805539,Vincent Sousmarins,4.0,Poutineries|Comfort Food|Pizza|Restaurants,14,5012,20,0.00399042298484,3.35
pj2vO-JQWgV5cqqLu1GCuw,QC,-73.5425656,45.5482537,Le Dragon Magnifique,3.5,Chinese|Restaurants,8,3924,40,0.0101936799185,3.7
WvZU5CF7jnBfsS5ah6sp1Q,QC,-73.6099926,45.5632866,Restaurant O Cantinho,4.0,Portuguese|Restaurants,66,3000,18,0.006,3.69444444444
Gt76NQ7VGD3ijC_VUTsusg,QC,-73.5480649,45.5753221,Sushi Chef,3.0,Sushi Bars|Restaurants,14,5012,20,0.00399042298484,3.35
5ezeormfQE922xttsG-WWg,QC,-73.5494617,45.5727079,Beni Hana,4.0,Japanese|Restaurants,14,5012,20,0.00399042298484,3.35
EUqCIk70-jb8BKKKfP2wQA,QC,-73.5749425,45.5478052,M sur Masson,4.5,Caterers|Event Planning & Services|French|Restaurants,79,2122,14,0.00659754948162,3.64285714286
asJbp6UNO6OnelAcU6s8Ew,QC,-73.5756992,45.5913641,Dejeuner Eggcetera,3.0,Restaurants,24,4978,23,0.00462032944958,3.5
1SFM-hfzxAtQJVEQMJZd9A,QC,-73.5730789,45.5508384,Juste Nouilles,4.0,Chinese|Restaurants,79,2122,14,0.00659754948162,3.64285714286
PHRBzNoeIqQCTRLP5PvpZg,QC,-73.6124968529,45.5321389972,Ristorante Corneli,3.5,Restaurants|Pizza|Italian,40,453,55,0.121412803532,3.96363636364
XZQz1fMNaUm2AZ_Q6qXoMw,QC,-73.6262883177,45.6049978713,Buona Sera,2.0,Restaurants|Pizza|Italian,92,10196,4,0.000392310710082,3.125
