business_id,pop,homes,homes_occupied_by_owners
lW9Up8oVTWUEut_R6nZG-g,28422.0,16429.0,15307.0
RZma06CqXbOIMzTQL-eJFQ,,,
GxfgoiDLfs7HC8C_wFsGPw,25836.0,14357.0,13749.0
yLj-pKIc-V530j1G6ySQ2Q,21093.0,12097.0,11357.0
IY5GFZTZCywC0ylKuG9ebA,28422.0,16429.0,15307.0
RySnetMQUJKbbtliTt4Nmw,21093.0,12097.0,11357.0
IYdjcA92wjvM5RtPZ3C7kw,28928.0,14958.0,14276.0
pvbBfLIVJ_5sJXUTAKmkng,24490.0,10638.0,10177.0
A9yOopsy2bQgStF3Y6lSyA,21093.0,12097.0,11357.0
dvXKsHW_WIdRbbE_Jsxx3A,21093.0,12097.0,11357.0
JqlT41fOvgMQnbL_ZhLtZw,28422.0,16429.0,15307.0
lj9PHKl7wKvQTHgFc08E-Q,32996.0,16690.0,15838.0
FefB0Lp2Sz0RMZvtgbiuMw,29843.0,12170.0,11688.0
Hn9aFjT-Up_0AJ8ZuIWTBA,25836.0,14357.0,13749.0
gas4eqbnp_dzdA3kith5XA,23028.0,11981.0,11431.0
Ra8dwM6dGUQszCXiUDPf2A,17748.0,7478.0,7214.0
FRoFkp1YGqziKAk5HAj55w,35439.0,14358.0,13430.0
dIcc2Z7m-JcHHLxwCuyfug,43294.0,17238.0,16630.0
kPFS2EnXDFcddYslkaMqKw,25836.0,14357.0,13749.0
6MSbS90XvNHz8-rUWIg1gA,35439.0,14358.0,13430.0
N-m3nClpkmdmOlQfQKpyIA,29859.0,16659.0,15849.0
H36YxCHOChB1ptvFG4mBgA,17748.0,7478.0,7214.0
fviB5hGwm6phgpkFqD80wA,24490.0,10638.0,10177.0
-bfARaSSodNvJsh4jkB78w,23028.0,11981.0,11431.0
CEkOJGQI4oieQR5KrQfnjw,28422.0,16429.0,15307.0
xzb-QswUTcunPfPc56G-Jg,25836.0,14357.0,13749.0
s9zHOmnjn76CluBfoefNrg,25836.0,14357.0,13749.0
75by2mPZuPGbl3Tg5WkA7Q,28422.0,16429.0,15307.0
aBD8uijs4_isgDzD-b9sNA,23028.0,11981.0,11431.0
No_yhpCxnTIbPREPu-7d5w,23028.0,11981.0,11431.0
DEV3v5osDOnqaToH7zhLAA,24490.0,10638.0,10177.0
9eDgQCBSwsM2ipAEqJtijA,28422.0,16429.0,15307.0
dFEN3l7D-ukjGz4eDzlzKw,23028.0,11981.0,11431.0
4B3fxCfIQqUb-mSI2b2SIg,25836.0,14357.0,13749.0
jdya5JGhDwisyzHTJZy7QA,10345.0,4914.0,4803.0
yRwiB5yr8FZmMV95hb-FRA,23028.0,11981.0,11431.0
3IQklarg7couxZURv-UBHA,23028.0,11981.0,11431.0
8AfCqrr-aQtPg0JdGor9og,29859.0,16659.0,15849.0
rktD-6bsUPD8vEoK2MrUcA,21093.0,12097.0,11357.0
btSNykS8wnIjb5sspEVh_Q,28422.0,16429.0,15307.0
kGzeAO3S76mkv9O_Q9bWsQ,35439.0,14358.0,13430.0
YrsP2kYz8U8PfhFdF9-0dg,17748.0,7478.0,7214.0
b-zECNSSEXAyYo_z2Z3_Zw,17748.0,7478.0,7214.0
0RsYRnk0z2Y_GbK7fB9nLQ,21093.0,12097.0,11357.0
vJtlcSMiNgvHI1i_rL1K2Q,10345.0,4914.0,4803.0
