business_id,closest_mstop_dist,closest_mstop_id,closest_mstop_type,closest_bstop_dist,closest_bstop_id,closest_bstop_type
lW9Up8oVTWUEut_R6nZG-g,0.00719181921543,25,metro,0.000308031699746,120961,bus
RZma06CqXbOIMzTQL-eJFQ,0.0432638167741,3,metro,0.000325377104303,1800551,bus
GxfgoiDLfs7HC8C_wFsGPw,0.0213923534101,26,metro,0.000156605300042,115294,bus
yLj-pKIc-V530j1G6ySQ2Q,0.00601657463346,22,metro,0.000636730963596,119900,bus
IY5GFZTZCywC0ylKuG9ebA,0.00504357888112,26,metro,0.000849245977327,118724,bus
RySnetMQUJKbbtliTt4Nmw,0.00280648348508,23,metro,0.00255223642557,142122,bus
IYdjcA92wjvM5RtPZ3C7kw,0.0230580935248,19,metro,0.00260055859384,1602252,bus
pvbBfLIVJ_5sJXUTAKmkng,0.0284838283417,21,metro,6.97036584413e-05,1701551,bus
A9yOopsy2bQgStF3Y6lSyA,0.0110805705201,23,metro,0.000245861037986,121572,bus
dvXKsHW_WIdRbbE_Jsxx3A,0.00108061260736,23,metro,0.00112086178606,100782,bus
JqlT41fOvgMQnbL_ZhLtZw,0.00932538853799,26,metro,0.00124114556205,144557,bus
lj9PHKl7wKvQTHgFc08E-Q,0.00810527451293,18,metro,0.000620917490503,122234,bus
FefB0Lp2Sz0RMZvtgbiuMw,0.0399521822149,64,metro,0.00103975551453,1700431,bus
Hn9aFjT-Up_0AJ8ZuIWTBA,0.0118881764308,63,metro,0.000548920804847,112151,bus
gas4eqbnp_dzdA3kith5XA,0.00440876444029,22,metro,0.000436643893816,125269,bus
Ra8dwM6dGUQszCXiUDPf2A,0.0392406720571,21,metro,0.000753648784249,1701332,bus
FRoFkp1YGqziKAk5HAj55w,0.0144190951089,63,metro,0.000865481808015,137023,bus
dIcc2Z7m-JcHHLxwCuyfug,0.0577384421335,64,metro,0.000339165151521,100043,bus
kPFS2EnXDFcddYslkaMqKw,0.00751993070713,26,metro,0.000332926178005,141302,bus
6MSbS90XvNHz8-rUWIg1gA,0.0157992434659,62,metro,0.00166244035946,108302,bus
N-m3nClpkmdmOlQfQKpyIA,0.018893627042,24,metro,0.000183957060205,116082,bus
H36YxCHOChB1ptvFG4mBgA,0.0409510850154,64,metro,0.00121781933799,1700437,bus
fviB5hGwm6phgpkFqD80wA,0.0329170247783,21,metro,0.000889356117849,1701509,bus
-bfARaSSodNvJsh4jkB78w,0.001223502877,20,metro,0.000485436803299,121113,bus
CEkOJGQI4oieQR5KrQfnjw,0.0470103554185,18,metro,0.0047359291137,1500261,bus
xzb-QswUTcunPfPc56G-Jg,0.0214535808771,26,metro,0.000285429588517,115402,bus
s9zHOmnjn76CluBfoefNrg,0.0117673540888,63,metro,0.00012927432073,112151,bus
75by2mPZuPGbl3Tg5WkA7Q,0.0100248966558,25,metro,0.000874923745241,121364,bus
aBD8uijs4_isgDzD-b9sNA,0.00577251253788,19,metro,0.002156072355,100323,bus
